,Author,Quotes,Likes,Tags
0,"Frank Herbert,",“I must not fear. Fear is the mind-killer. Fear is the little-death that brings total obliteration. I will face my fear. I will permit it to pass over me and through me. And when it has gone past I will turn the inner eye to see its path. Where the fear has gone there will be nothing. Only I will remain.”,12773,"['bene-gesserit,', 'fear,', 'litany-against-fear,', 'motivational,', 'scifi']"
1,"Roy T. Bennett,",“Attitude is a choice. Happiness is a choice. Optimism is a choice. Kindness is a choice. Giving is a choice. Respect is a choice. Whatever choice you make makes you. Choose wisely.”,9050,"['attitude,', 'choice,', 'giving,', 'happiness,', 'inspirational,', 'kindness,', 'life-and-living,', 'life-lessons,', 'motivational,', 'positive-affirmation']"
2,"Roy T. Bennett,",“Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.”,8321,"['dreams,', 'fearless,', 'heart,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'mind,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking']"
3,"Roy T. Bennett,",“Live the Life of Your Dreams: Be brave enough to live the life of your dreams according to your vision and purpose instead of the expectations and opinions of others.”,6125,"['brave,', 'courage,', 'dreams,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'purpose,', 'vision']"
4,"Roy T. Bennett,","“Believe in yourself. You are braver than you think, more talented than you know, and capable of more than you imagine.”",6071,"['achievement,', 'believe-in-yourself,', 'brave,', 'courage,', 'inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'talent']"
5,Roy T. Bennett,"“It’s only after you’ve stepped outside your comfort zone that you begin to change, grow, and transform.”",5724,"['change,', 'focus,', 'grow,', 'growth,', 'inspiration,', 'inspirational,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'leader,', 'leaders,', 'leadership,', 'life,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'stay-focused,', 'step-out-of-comfort-zone,', 'transform']"
6,"Steve Maraboli,","“The truth is, unless you let go, unless you forgive yourself, unless you forgive the situation, unless you realize that the situation is over, you cannot move forward.”",5232,"['forgiveness,', 'inspirational,', 'letting-go,', 'life,', 'motivational,', 'moving-forward,', 'truth']"
7,"Roy T. Bennett,","“Do what is right, not what is easy nor what is popular.”",5217,"['inspirational,', 'integrity,', 'motivational,', 'what-is-right']"
8,"Steve Maraboli,",“Dare to Be,5040,"['compassion,', 'dare-to-be,', 'gratitude,', 'inspirational,', 'life,', 'motivational,', 'seize-the-day,', 'smile,', 'success']"
9,"Roy T. Bennett,","“Success is not how high you have climbed, but how you make a positive difference to the world.”",4888,"['inspiration,', 'inspirational,', 'inspirational-attitude,', 'inspirational-life,', 'inspirational-quotes,', 'inspire,', 'inspiring,', 'leader,', 'leadership,', 'life,', 'life-and-living,', 'life-lessons,', 'life-quotes,', 'living,', 'motivation,', 'motivational,', 'optimism,', 'optimistic,', 'positive,', 'positive-affirmation,', 'positive-life,', 'positive-thinking,', 'success']"
